id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
a933849f-af9c-4209-8802-7ad53c33fb15	20130726T034510Z	1	900000000000207008	450994008	118623005	
44a98b5a-f161-4a71-bb89-a48a0cfa21b4	20130726T034510Z	1	900000000000207008	450994008	308472003	
d93f7e53-675b-45d9-80ca-53dec7bde9dc	20130726T034510Z	1	900000000000207008	450994008	102614006	
10fd08ca-863c-4a9e-9100-31f0621e451d	20130726T034510Z	1	900000000000207008	450994008	402290005	
ef528783-65d6-4005-bfa3-6283b010ed84	20130726T034510Z	1	900000000000207008	450994008	279029001	
ad5f1423-ada1-41a8-b056-514727607904	20130726T034510Z	1	900000000000207008	450994008	425131000	
f0f011a8-18fc-4d13-94a6-dba576416a5d	20130726T034510Z	1	900000000000207008	450994008	35646002	
15e3ee45-a6dc-487b-ac79-42d8da15f34e	20130726T034510Z	1	900000000000207008	450994008	61281005	
bf1bc45c-bbe9-4bd9-8558-91aced4401d7	20130726T034510Z	1	900000000000207008	450994008	64531003	
f2671066-67f5-4e4c-9ddb-40c9d3264f5a	20130726T034510Z	1	900000000000207008	450994008	29740003	
47ed25ef-f6cd-4112-bcc8-bc284ff1383d	20130726T034510Z	1	900000000000207008	450994008	50063009	
d7625aa0-4e00-45d9-9baa-84af056fc470	20130726T034510Z	1	900000000000207008	450994008	72274001	
62d5fb9b-1c68-47f4-ac03-e0584332c9e3	20130726T034510Z	1	900000000000207008	450994008	31822004	
6bc4451b-9871-42c3-895c-8811763deb1d	20130726T034510Z	1	900000000000207008	450994008	192119003	
bd7c8ad1-bd2f-4f3f-9e0d-df9a55c630d8	20130726T034510Z	1	900000000000207008	450994008	82525005	
680561ef-b859-4e73-a33f-740a6e950854	20130726T034510Z	1	900000000000207008	450994008	309615009	
c4fc05d8-62f8-45d7-b07d-aeed8758c24a	20130726T034510Z	1	900000000000207008	450994008	53430007	
a86f1385-9225-4238-956d-f193411e725b	20130726T034510Z	1	900000000000207008	450994008	49417009	
40f0a653-a60b-42ef-85b9-a1a81a1fb132	20130726T034510Z	1	900000000000207008	450994008	33553000	
e6a18f75-49ef-4534-8f88-bf507fa6abef	20130726T034510Z	1	900000000000207008	450994008	54840006	
6e13a77c-eb47-4eb4-aac3-5d69a5dd7059	20130726T034510Z	1	900000000000207008	450994008	191983006	
7f94b83a-3a1f-48ab-ac3c-590dd77a8d12	20130726T034510Z	1	900000000000207008	450994008	427578006	
1728dc6d-86f8-4d75-85eb-3846ee6340c1	20130726T034510Z	1	900000000000207008	450994008	405737000	
a58a1313-718d-40bc-98b8-356ce505f1b0	20130726T034510Z	1	900000000000207008	450994008	19362000	
cf338c70-4f03-42e1-97b8-a3ebf0d0b90b	20130726T034510Z	1	900000000000207008	450994008	239987006	
b74e74c5-eacd-4605-a10d-02ea1b876b66	20130726T034510Z	1	900000000000207008	450994008	177627006	
bb2ecc57-a2f5-44bd-8865-5aad4d08e0e2	20130726T034510Z	1	900000000000207008	450994008	95453001	
3a895d0d-3de3-4c1f-bda7-33f611d29b52	20130726T034510Z	1	900000000000207008	450994008	90834002	
4dae22a2-d62f-496f-a972-cc319ac0dde2	20130726T034510Z	1	900000000000207008	450994008	63234004	
473abc0a-1572-455f-9e91-f777c460388d	20130726T034510Z	1	900000000000207008	450994008	2904007	
61b03895-b885-4285-9b97-cc63d3a5fbcd	20130726T034510Z	1	900000000000207008	450994008	269183000	
8e218835-0d82-4acd-93a5-1387b2170b53	20130726T034510Z	1	900000000000207008	450994008	182764009	
71b74412-a460-43df-bedb-3bd51d0cd747	20130726T034510Z	1	900000000000207008	450994008	285836003	
ed533b45-410a-4bcc-a0cd-d09bb14fe581	20130726T034510Z	1	900000000000207008	450994008	94391008	
5c78feb4-16d4-429c-8875-7927e14142e6	20130726T034510Z	1	900000000000207008	450994008	363494000	
50731248-1a77-4858-9c3c-5057334c9798	20130726T034510Z	1	900000000000207008	450994008	805002	
9d3dc2bb-fbcf-4b5d-90de-20cd347f8852	20130726T034510Z	1	900000000000207008	450994008	363228008	
66e9f560-44e3-464c-8ec6-ee15a5deb2a7	20130726T034510Z	1	900000000000207008	450994008	26389007	
4ecd619f-264f-4cec-a1aa-61ae6140cb6b	20130726T034510Z	1	900000000000207008	450994008	72007001	
4a0c55cc-c41d-4420-9ac9-241959d700e4	20130726T034510Z	1	900000000000207008	450994008	404904002	
e15e6be9-8338-44cc-9b88-9f249117a29c	20130726T034510Z	1	900000000000207008	450994008	233817007	
9dca0671-a51c-4af4-b006-35ebf628e541	20130726T034510Z	1	900000000000207008	450994008	36813001	
734cfc58-93a7-45c3-ad11-5a80461934a2	20130726T034510Z	1	900000000000207008	450994008	89765005	
