id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
0531d9c7-2895-48d9-b6c7-28f836ca449b	20130726T035105Z	1	900000000000207008	450994008	425131000	
c1839662-5c2a-4462-93d6-f34fc47c6eca	20130726T035105Z	1	900000000000207008	450994008	61281005	
f882e522-2677-4598-a723-afb536267fdd	20130726T035105Z	1	900000000000207008	450994008	64531003	
6a647d64-7c34-4f72-bd6c-3e03d21d6085	20130726T035105Z	1	900000000000207008	450994008	29740003	
a3a47a83-7cce-49ee-824d-5d09b1b3d8ba	20130726T035105Z	1	900000000000207008	450994008	50063009	
443836b4-54e9-4f1d-86c1-5fb8cc3584c0	20130726T035105Z	1	900000000000207008	450994008	31822004	
83896117-681e-4b8c-8869-6b06682adb2b	20130726T035105Z	1	900000000000207008	450994008	192119003	
ff874bb1-1997-4fe3-a669-edceba31bf9c	20130726T035105Z	1	900000000000207008	450994008	72274001	
7a95e557-2331-46fc-b9ed-eb07dfccc0a1	20130726T035105Z	1	900000000000207008	450994008	82525005	
648e0445-61a3-484f-a9bb-65f86ef494b8	20130726T035105Z	1	900000000000207008	450994008	309615009	
d7fcb3c7-abc2-4a0c-acbe-4b00169da7e0	20130726T035105Z	1	900000000000207008	450994008	53430007	
795015ab-64cd-4181-8240-e011482a32eb	20130726T035105Z	1	900000000000207008	450994008	49417009	
eb806669-bd35-48f6-9634-dcc39e944276	20130726T035105Z	1	900000000000207008	450994008	33553000	
8a8155b0-7759-468c-a78d-93e8360b9a9b	20130726T035105Z	1	900000000000207008	450994008	54840006	
fdecff5a-e8a4-40c7-abae-07cac579d1ea	20130726T035105Z	1	900000000000207008	450994008	191983006	
ae07b857-ecac-4330-9f75-99ad9a416c11	20130726T035105Z	1	900000000000207008	450994008	427578006	
a9b97cfd-987a-4fd0-8bb5-29dfc577f3c5	20130726T035105Z	1	900000000000207008	450994008	239987006	
789ec4b9-121f-4088-bed2-8cd40d456d64	20130726T035105Z	1	900000000000207008	450994008	405737000	
b7a3d03c-f44b-4675-ab21-d164760c5604	20130726T035105Z	1	900000000000207008	450994008	19362000	
22f5039e-4db9-452c-b8f5-61ba1ed9e9ad	20130726T035105Z	1	900000000000207008	450994008	177627006	
4437835a-d26a-45c8-a4dd-265c606e3377	20130726T035105Z	1	900000000000207008	450994008	95453001	
4a30a569-a6c0-44f8-ba92-43ae36f5ba64	20130726T035105Z	1	900000000000207008	450994008	281036007	
095cec1f-d758-4706-9ba9-f4e35f6235ab	20130726T035105Z	1	900000000000207008	450994008	90834002	
ea1161ca-9eeb-4930-b72a-d99bf89e161a	20130726T035105Z	1	900000000000207008	450994008	63234004	
aa0d7749-cd43-409e-92b3-d696b06e2898	20130726T035105Z	1	900000000000207008	450994008	2904007	
76654b7a-cb18-4bb8-aaf2-f21d1e4fe2b6	20130726T035105Z	1	900000000000207008	450994008	269183000	
43a0bba4-6146-4f7f-bdaf-5ba186e47589	20130726T035105Z	1	900000000000207008	450994008	182764009	
